frame_number,label
242,nice
257,to meet
272,you
345,nice
359,to meet
372,you
416,nice
428,to meet
439,you
494,nice
510,to meet
523,you
768,nice
780,to meet
793,you
857,nice
871,to meet
881,you
926,nice
936,to meet
946,you
978,how
989,are you
1028,how
1038,are you
1085,how
1097,are you
1143,how
1155,are you
1200,how
1210,are you
1261,how
1270,are you
1316,how
1324,are you
1362,how
1371,are you
1410,how
1418,are you
1460,how
1467,are you
1524,how
1533,are you
1574,how
1581,are you
1635,how
1644,are you
1745,how
1755,are you
1798,nice
1812,to meet
1824,you
1865,nice
1878,to meet
1892,you
1947,you
1995,you
2070,nice
2083,to meet
2098,you
2137,nice
2150,to meet
2163,you
2208,nice
2220,to meet
2234,you
2290,nice
2302,to meet
2314,you
2371,nice
2386,to meet
2399,you
2461,how
2472,are you
2507,how
2517,are you
2559,how
2568,are you
2619,how
2630,are you
2666,how
2676,are you
2718,how
2727,are you
2781,how
2790,are you
2829,how
2838,are you
2885,how
2894,are you
2935,how
2945,are you
3003,how
3012,are you
3099,how
3110,are you
3145,how
3155,are you
3189,how
3198,are you
3247,how
3257,are you
3309,how
3317,are you
